copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,PermissionSet.PR_Sales_B2C_LimitedAccess,PermissionSet,,,Auto-resolved,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_PermissionSet.PR_Sales_B2C_LimitedAccess,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-16T00:19:50.000+0000,Nagaswarup Thumu,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,CustomLabel.Asset_Line_Number_Validation,CustomLabel,,,,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_CustomLabel.Asset_Line_Number_Validation,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-09-26T10:30:10.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,CustomLabel.Asset_Disconnect_Reason_Validation,CustomLabel,,,,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_CustomLabel.Asset_Disconnect_Reason_Validation,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-09-26T10:30:10.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,CustomLabel.Asset_Disconnect_Datetime_Validation,CustomLabel,,,,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_CustomLabel.Asset_Disconnect_Datetime_Validation,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-09-26T10:30:10.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,CustomLabel.Asset_Billing_Account_Id_Validation,CustomLabel,,,,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_CustomLabel.Asset_Billing_Account_Id_Validation,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-09-26T10:30:10.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,ApexClass.PR_AssetPreValidation_tst,ApexClass,,,Potential Conflict,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_ApexClass.PR_AssetPreValidation_tst,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-01T08:09:16.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,ApexClass.PR_AssetPreValidation,ApexClass,,,Potential Conflict,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_ApexClass.PR_AssetPreValidation,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-01T08:09:16.000+0000,Shivani Soni,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,IntegrationProcedure.PR_addToCartWithDevicesIP,IntegrationProcedure,,,Auto-resolved,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_IntegrationProcedure.PR_addToCartWithDevicesIP,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-13T15:08:35.000+0000,Juan Pablo Hernández,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,OmniScript.PR_MobilePrepaidChangePlan_English,OmniScript,,,Auto-resolved,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_OmniScript.PR_MobilePrepaidChangePlan_English,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-15T10:57:43.000+0000,Nagaswarup Thumu,Shivani Soni,SAL-83930
US-0033466,Development / SIT Deployment / QA Deployment - SAL-83930,IntegrationProcedure.PR_AddProductSelectToPostpaidchangeCartIP,IntegrationProcedure,,,Potential Conflict,,2025-09-26T10:30:10.000+0000,,aC2Pl000000EjIDKA0_IntegrationProcedure.PR_AddProductSelectToPostpaidchangeCartIP,2025-09-26T10:30:10.000+0000,Shivani Soni,2025-10-01T08:09:16.000+0000,Shivani Soni,Shivani Soni,SAL-83930
