SourceProductName,SKU details
ALL SKU,"[117052,117053,117054,117055,117056,117062,117064,117068,117069,117070,117071,117075,117076,117077,117078,117079,117080,117081,117082,117083,117084]"
LLA_APPLE_IPAD_PRO_11_GEN_4_NEW,"{""Device_Details"":[{""Family"":""ipad/Tablet"",""ProductCode"":""LLA_APPLE_IPAD_PRO_11_GEN_4_NEW"",""Pricing_Details"":[{""Total_price"":""949.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""11-inch"",""Capacity"":""128GB"",""SKU_details"":[{""SKU_code"":""106071"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]},{""Total_price"":""1099.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""11-inch"",""Capacity"":""256GB"",""SKU_details"":[{""SKU_code"":""106073"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]},{""Total_price"":""1299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""11-inch"",""Capacity"":""512GB"",""SKU_details"":[{""SKU_code"":""106075"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]}]}]}"
LLA_APPLE_IPAD_PRO_12_GEN_6_NEW,"{""Device_Details"":[{""Family"":""ipad/Tablet"",""ProductCode"":""LLA_APPLE_IPAD_PRO_12_GEN_6_NEW"",""Pricing_Details"":[{""Total_price"":""1299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""12.9-inch"",""Capacity"":""128GB"",""SKU_details"":[{""SKU_code"":""106081"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]},{""Total_price"":""1399.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""12.9-inch"",""Capacity"":""256GB"",""SKU_details"":[{""SKU_code"":""106083"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]},{""Total_price"":""1599.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Size"":""12.9-inch"",""Capacity"":""512GB"",""SKU_details"":[{""SKU_code"":""106085"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Gray""}]}]}]}"
LLA_Alcatel_USB_Dongle,"{""Device_Details"":[{""Family"":"""",""ProductCode"":""LLA_Alcatel_USB_Dongle"",""Pricing_Details"":[{""Total_price"":""39.99"",""Installment_Months"":""12 Month,18 Month,24 Month,30 Month,36 Month"",""Next_Up"":""6"",""Capacity"":""NA"",""SKU_details"":[{""SKU_code"":""302029"",""Quantity"":""0"",""Availability"":""Y"",""Color"":""Black""}]}]}]}"
LLA_Apple_Watch_SE,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_SE"",""Pricing_Details"":[{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Aluminium"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""108546"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT White Sport Band SM""},{""SKU_code"":""105280"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band ML""},{""SKU_code"":""105279"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band SM""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""108547"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band SM""},{""SKU_code"":""108541"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band ML""},{""SKU_code"":""105275"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105276"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""108545"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band SM""},{""SKU_code"":""105277"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band SM""},{""SKU_code"":""105278"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Aluminium"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""108543"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT White Sport Band ML""},{""SKU_code"":""105286"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band ML""},{""SKU_code"":""105285"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band SM""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""108544"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band ML""},{""SKU_code"":""105281"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105282"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""108548"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band SM""},{""SKU_code"":""108542"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band ML""},{""SKU_code"":""105283"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band SM""},{""SKU_code"":""105284"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band ML""}]}]}]}"
LLA_Apple_Watch_SE_2024,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_SE_2024"",""Pricing_Details"":[{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""109111"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport SM""},{""SKU_code"":""109112"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport ML""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Silver Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""109113"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Denim Sport SM""},{""SKU_code"":""109114"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Denim Sport ML""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""109115"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport SM""},{""SKU_code"":""109116"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminium"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""109117"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport SM""},{""SKU_code"":""109118"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Silver Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""109119"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Denim Sport SM""},{""SKU_code"":""109120"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Denim Sport ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""109121"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport SM""},{""SKU_code"":""109122"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport ML""}]}]}]}"
LLA_Apple_Watch_SE_NEW,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_SE_NEW"",""Pricing_Details"":[{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Silver Aluminium"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""105583"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Blue Sport Band SM""},{""SKU_code"":""105584"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Blue Sport Band ML""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""108739"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band""},{""SKU_code"":""108735"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band ML""},{""SKU_code"":""105579"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105580"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]},{""Total_price"":""299.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminum"",""Size"":""40mm"",""SKU_details"":[{""SKU_code"":""108738"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band""},{""SKU_code"":""108737"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band ML""},{""SKU_code"":""105581"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band SM""},{""SKU_code"":""105582"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Silver Aluminium"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""105589"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Blue Sport Band SM""},{""SKU_code"":""105590"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Blue Sport Band ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Starlight Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""108743"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Starlight Sport Band""},{""SKU_code"":""105585"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105586"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]},{""Total_price"":""329.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Midnight Aluminum"",""Size"":""44mm"",""SKU_details"":[{""SKU_code"":""108745"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band""},{""SKU_code"":""108742"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""AT Midnight Sport Band ML""},{""SKU_code"":""105587"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band SM""},{""SKU_code"":""105588"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Midnight Sport Band ML""}]}]}]}"
LLA_Apple_Watch_Series_10,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_Series_10"",""Pricing_Details"":[{""Total_price"":""499.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Silver Aluminium"",""Size"":""42mm"",""Pre_Order"":""N"",""SKU_details"":[{""SKU_code"":""108862"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Blue Cloud Sport Loop""}]},{""Total_price"":""749.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Natural Titanium"",""Size"":""42mm"",""Pre_Order"":""N"",""SKU_details"":[{""SKU_code"":""108864"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Natural Milanese Loop""}]},{""Total_price"":""529.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Jet Black Aluminium"",""Size"":""46mm"",""Pre_Order"":""N"",""SKU_details"":[{""SKU_code"":""108863"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Ink Sport Loop""}]},{""Total_price"":""799.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Natural Titanium"",""Size"":""46mm"",""Pre_Order"":""N"",""SKU_details"":[{""SKU_code"":""108865"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Natural Milanese Loop ML""}]}]}]}"
LLA_Apple_Watch_Series_8_Aluminum_Case,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_Series_8_Aluminum_Case"",""Pricing_Details"":[{""Total_price"":""449.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Aluminum Case"",""Size"":""41mm"",""SKU_details"":[{""SKU_code"":""105259"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band SM""},{""SKU_code"":""105260"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band ML""}]},{""Total_price"":""479.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Aluminum Case"",""Size"":""45mm"",""SKU_details"":[{""SKU_code"":""105261"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band SM""},{""SKU_code"":""105262"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""White Sport Band ML""}]}]}]}"
LLA_Apple_Watch_Series_8_Gold_Stainless_Steel_Case,"{""Device_Details"":[{""Family"":""iphone/appleWatch"",""ProductCode"":""LLA_Apple_Watch_Series_8_Gold_Stainless_Steel_Case"",""Pricing_Details"":[{""Total_price"":""699.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Gold Stainless Steel Case"",""Size"":""45mm"",""SKU_details"":[{""SKU_code"":""105013"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Gold Milanese Loop""}]},{""Total_price"":""649.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Gold Stainless Steel Case"",""Size"":""45mm"",""SKU_details"":[{""SKU_code"":""105255"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105256"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]},{""Total_price"":""649.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Gold Stainless Steel Case"",""Size"":""41mm"",""SKU_details"":[{""SKU_code"":""105236"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Gold Milanese Loop""}]},{""Total_price"":""599.99"",""Installment_Months"":""24 Month"",""Next_Up"":""6"",""Case"":""Gold Stainless Steel Case"",""Size"":""41mm"",""SKU_details"":[{""SKU_code"":""105245"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band SM""},{""SKU_code"":""105246"",""Quantity"":""0"",""Availability"":""Y"",""Band"":""Starlight Sport Band ML""}]}]}]}"
