copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N5500000011fCEAQ (a9613ef2-3d4f-42cb-fe63-0fb64ef5cb3f),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N5500000011fCEAQ (a9613ef2-3d4f-42cb-fe63-0fb64ef5cb3f),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N5500000011fCEAQ (a790ae29-9077-301c-4119-1475be579eff),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N5500000011fCEAQ (a790ae29-9077-301c-4119-1475be579eff),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N4X000000MBGlUAO (268782e8-f835-2e74-43c2-bba4f506d193),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N4X000000MBGlUAO (268782e8-f835-2e74-43c2-bba4f506d193),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (ca870e80-9bb5-f021-bd9a-8d25e9a69b1a),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (ca870e80-9bb5-f021-bd9a-8d25e9a69b1a),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (b651d001-8dbe-80d4-504d-305d98d3c033),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (b651d001-8dbe-80d4-504d-305d98d3c033),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N05000000nmLgEAI (dc506d30-6946-acdd-89ef-452614145292),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N05000000nmLgEAI (dc506d30-6946-acdd-89ef-452614145292),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N05000000nmPjEAI (52c4c2cd-2730-1553-b9fe-b51b3b2b21cd),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N05000000nmPjEAI (52c4c2cd-2730-1553-b9fe-b51b3b2b21cd),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (3ebdee18-4403-f9b1-8bbe-86bf7c8f3655),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N0h000003L6b8EAC (3ebdee18-4403-f9b1-8bbe-86bf7c8f3655),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,CustomField.Product2.SUB_CATEGORY_1__c,CustomField,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_CustomField.Product2.SUB_CATEGORY_1__c,2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
US-0032856,Sub Category 1 field - SAL-82283,ObjectLayout.(Inherited)Layout-a5N8F0000008OJ2UAM (3c1efb7b-4e97-7b2f-0243-b32bce5f6a09),ObjectLayout,,,,,2025-08-20T21:00:54.000+0000,,aC2Pl000000DPgXKAW_ObjectLayout.(Inherited)Layout-a5N8F0000008OJ2UAM (3c1efb7b-4e97-7b2f-0243-b32bce5f6a09),2025-08-20T21:00:54.000+0000,Katherina Knaus,2025-08-20T21:00:54.000+0000,Katherina Knaus,Katherina Knaus,SAL-82283
