copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,DataRaptor.PRDRFetchAssets,DataRaptor,,,Potential Conflict,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_DataRaptor.PRDRFetchAssets,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-10-17T18:47:48.000+0000,felipe santos,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,CustomMetadata.PR_Generic.ValidateNonPayAsset,CustomMetadata,,,,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_CustomMetadata.PR_Generic.ValidateNonPayAsset,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:19.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,CustomField.PR_Generic__mdt.Type__c,CustomField,,,Potential Conflict,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_CustomField.PR_Generic__mdt.Type__c,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-21T21:16:46.000+0000,felipe santos,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,ApexClass.PR_AccessoriesHelper_Test,ApexClass,,,,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_ApexClass.PR_AccessoriesHelper_Test,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:19.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,ApexClass.PR_AccessoriesHelper,ApexClass,,,,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_ApexClass.PR_AccessoriesHelper,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:19.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,IntegrationProcedure.PR_ValidateNonPayAssetsIP,IntegrationProcedure,,,,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_IntegrationProcedure.PR_ValidateNonPayAssetsIP,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:19.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,DataRaptor.PR_GetCompanionWearableDR,DataRaptor,,,Potential Conflict,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_DataRaptor.PR_GetCompanionWearableDR,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:22.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,DataRaptor.PR_GetAccessoriesFromPlanDR,DataRaptor,,,Potential Conflict,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_DataRaptor.PR_GetAccessoriesFromPlanDR,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-29T23:20:47.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,IntegrationProcedure.PR_DisconnectPostpaidLinesIP,IntegrationProcedure,,,Auto-resolved,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_IntegrationProcedure.PR_DisconnectPostpaidLinesIP,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-10-14T15:26:03.000+0000,eviliardo espinosa,Prabhat Gupta,SAL-83585
US-0033343,CLONE - Development / SIT Deployment / QA Deployment - SAL-83585,IntegrationProcedure.PR_CancelAccessoryPlanIP,IntegrationProcedure,,,,,2025-09-19T01:08:19.000+0000,,aC2Pl000000ERALKA4_IntegrationProcedure.PR_CancelAccessoryPlanIP,2025-09-19T01:08:19.000+0000,Prabhat Gupta,2025-09-19T01:08:19.000+0000,Prabhat Gupta,Prabhat Gupta,SAL-83585
US-0033327,Development / SIT Deployment / QA Deployment - SAL-83613,CustomMetadata.PR_Generic.OLSPForUSMainlandNumber,CustomMetadata,,,,,2025-09-22T13:50:06.000+0000,,aC2Pl000000ERA5KAO_CustomMetadata.PR_Generic.OLSPForUSMainlandNumber,2025-09-22T13:50:06.000+0000,Prabhat Gupta,2025-09-22T13:50:06.000+0000,Prabhat Gupta,Haripriya S,SAL-83613
