copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033550,QA deployment - QA-210013,CustomObject.PR_CloneProductSetting__mdt,CustomObject,,,,,2025-09-30T13:35:37.000+0000,,aC2Pl000000EvT4KAK_CustomObject.PR_CloneProductSetting__mdt,2025-09-30T13:35:37.000+0000,Shivani Soni,2025-09-30T13:35:37.000+0000,Shivani Soni,Shivani Soni,QA-210013
US-0033550,QA deployment - QA-210013,CustomMetadata.PR_CloneProductSetting.OrderItem,CustomMetadata,,,Auto-resolved,,2025-09-30T13:35:37.000+0000,,aC2Pl000000EvT4KAK_CustomMetadata.PR_CloneProductSetting.OrderItem,2025-09-30T13:35:37.000+0000,Shivani Soni,2025-10-14T21:15:07.000+0000,Gustavo Lopez,Shivani Soni,QA-210013
US-0033550,QA deployment - QA-210013,DataRaptor.PRRetriveFullyFinancedFromAssetDR,DataRaptor,,,Back Promoted,,2025-09-30T14:02:38.000+0000,,aC2Pl000000EvT4KAK_DataRaptor.PRRetriveFullyFinancedFromAssetDR,2025-09-30T14:02:38.000+0000,Shivani Soni,2025-10-03T20:26:38.000+0000,eviliardo espinosa,Shivani Soni,QA-210013
US-0033553,CLONE - Development / SIT Deployment / QA Deployment - SAL-83930 - SAL-84094,ApexClass.PR_AssetPreValidation_tst,ApexClass,,,Auto-resolved,,2025-10-01T08:09:11.000+0000,,aC2Pl000000EvZVKA0_ApexClass.PR_AssetPreValidation_tst,2025-10-01T08:09:11.000+0000,Shivani Soni,2025-10-08T06:15:27.000+0000,Ajay Venakata,Shivani Soni,SAL-84094
US-0033553,CLONE - Development / SIT Deployment / QA Deployment - SAL-83930 - SAL-84094,ApexClass.PR_AssetPreValidation,ApexClass,,,Auto-resolved,,2025-10-01T08:09:11.000+0000,,aC2Pl000000EvZVKA0_ApexClass.PR_AssetPreValidation,2025-10-01T08:09:11.000+0000,Shivani Soni,2025-10-16T00:19:51.000+0000,Nagaswarup Thumu,Shivani Soni,SAL-84094
US-0033553,CLONE - Development / SIT Deployment / QA Deployment - SAL-83930 - SAL-84094,DataRaptor.PR_TransformAddToCart,DataRaptor,,,,,2025-10-01T08:09:11.000+0000,,aC2Pl000000EvZVKA0_DataRaptor.PR_TransformAddToCart,2025-10-01T08:09:11.000+0000,Shivani Soni,2025-10-01T08:09:11.000+0000,Shivani Soni,Shivani Soni,SAL-84094
US-0033553,CLONE - Development / SIT Deployment / QA Deployment - SAL-83930 - SAL-84094,OmniScript.PR_DeviceChangeForInsuranceOS_English,OmniScript,,,Auto-resolved,,2025-10-01T08:09:11.000+0000,,aC2Pl000000EvZVKA0_OmniScript.PR_DeviceChangeForInsuranceOS_English,2025-10-01T08:09:11.000+0000,Shivani Soni,2025-10-14T17:49:18.000+0000,eviliardo espinosa,Shivani Soni,SAL-84094
US-0033553,CLONE - Development / SIT Deployment / QA Deployment - SAL-83930 - SAL-84094,IntegrationProcedure.PR_AddProductSelectToPostpaidchangeCartIP,IntegrationProcedure,,,Auto-resolved,,2025-10-01T08:09:11.000+0000,,aC2Pl000000EvZVKA0_IntegrationProcedure.PR_AddProductSelectToPostpaidchangeCartIP,2025-10-01T08:09:11.000+0000,Shivani Soni,2025-10-15T10:57:43.000+0000,Nagaswarup Thumu,Shivani Soni,SAL-84094
US-0033563,Development / SIT Deployment / QA Deployment - SAL-84112,LightningComponentBundle.prMobilePostpaidAdjustment_lwc,LightningComponentBundle,,,Potential Conflict,,2025-10-01T12:36:55.000+0000,,aC2Pl000000EzI9KAK_LightningComponentBundle.prMobilePostpaidAdjustment_lwc,2025-10-01T12:36:55.000+0000,Shivani Soni,2025-10-13T22:08:54.000+0000,Juan Pablo Hernández,Shivani Soni,SAL-84112
US-0033563,Development / SIT Deployment / QA Deployment - SAL-84112,Group.PR_GroupSAC,Group,,,,,2025-10-01T12:36:55.000+0000,,aC2Pl000000EzI9KAK_Group.PR_GroupSAC,2025-10-01T12:36:55.000+0000,Shivani Soni,2025-10-01T12:36:55.000+0000,Shivani Soni,Shivani Soni,SAL-84112
