copado__User_Story__r.Name,copado__User_Story__r.copado__User_Story_Title__c,copado__Metadata_API_Name__c,copado__Type__c,copado__Category__c,copado__Action__c,copado__Status__c,copado__ModuleDirectory__c,copado__Last_Commit_Date__c,copado__JsonInformation__c,copado__Unique_ID__c,CreatedDate,CreatedBy.Name,LastModifiedDate,LastModifiedBy.Name,developer,jira_key
US-0033687,Code Change - QA-213596,LightningComponentBundle.prMobilePostpaidAdjustment_lwc,LightningComponentBundle,,,Potential Conflict,,2025-10-09T10:46:41.000+0000,,aC2Pl000000FG2rKAG_LightningComponentBundle.prMobilePostpaidAdjustment_lwc,2025-10-09T10:46:42.000+0000,Shivani Soni,2025-10-13T22:08:54.000+0000,Juan Pablo Hernández,Shivani Soni,QA-213596
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,CustomField.OrderItem.SkipAssetization__c,CustomField,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_CustomField.OrderItem.SkipAssetization__c,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,CustomField.Order.SkipAssetization__c,CustomField,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_CustomField.Order.SkipAssetization__c,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,PermissionSet.PRB2B_SFICPQUser_PS,PermissionSet,,,Auto-resolved,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_PermissionSet.PRB2B_SFICPQUser_PS,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-14T22:29:12.000+0000,Jorge Barradas,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,ApexClass.AriaMultilineDiscountTmfJsonHelperTest,ApexClass,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_ApexClass.AriaMultilineDiscountTmfJsonHelperTest,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033689,Development / SIT Deployment / QA Deployment : Skip assetisation conditionally when order is Activated - SAL-84456,ApexClass.AriaMultilineDiscountTmfJsonHelper,ApexClass,,,,,2025-10-09T11:35:24.000+0000,,aC2Pl000000FG65KAG_ApexClass.AriaMultilineDiscountTmfJsonHelper,2025-10-09T11:35:24.000+0000,Shubham Mehta,2025-10-09T11:35:24.000+0000,Shubham Mehta,Shubham Mehta,SAL-84456
US-0033690,Development / SIT Deployment / QA Deployment - QA-213628,ApexClass.PR_InvoiceImpactService_Test,ApexClass,,,Potential Conflict,,2025-10-09T11:57:59.000+0000,,aC2Pl000000FG7hKAG_ApexClass.PR_InvoiceImpactService_Test,2025-10-09T11:57:59.000+0000,Shivani Soni,2025-10-09T11:58:02.000+0000,Shivani Soni,Shivani Soni,QA-213628
US-0033690,Development / SIT Deployment / QA Deployment - QA-213628,ApexClass.PR_InvoiceImpactService,ApexClass,,,Potential Conflict,,2025-10-09T11:57:59.000+0000,,aC2Pl000000FG7hKAG_ApexClass.PR_InvoiceImpactService,2025-10-09T11:57:59.000+0000,Shivani Soni,2025-10-09T11:58:02.000+0000,Shivani Soni,Shivani Soni,QA-213628
US-0033692,Deployment for PR_DRGetAssetNameFromId for productchild - SAL-84464,OmniScript.PR_MobilePrepaidChangePlan_English,OmniScript,,,Auto-resolved,,2025-10-09T13:20:09.000+0000,,aC2Pl000000FG9JKAW_OmniScript.PR_MobilePrepaidChangePlan_English,2025-10-09T13:20:09.000+0000,Shivani Soni,2025-10-14T21:15:08.000+0000,Gustavo Lopez,Shivani Soni,SAL-84464
US-0033695,Development / SIT Deployment / QA Deployment - SAL-84443,IntegrationProcedure.PR_ManageEbillTMF666SubIP,IntegrationProcedure,,,,,2025-10-10T04:58:19.000+0000,,aC2Pl000000FGFlKAO_IntegrationProcedure.PR_ManageEbillTMF666SubIP,2025-10-10T04:58:19.000+0000,Haripriya S,2025-10-10T04:58:19.000+0000,Haripriya S,Haripriya S,SAL-84443
